milliseconds, deg_Centigrade, pascals, meters
165,26,101553,0
757,26,101562,0
1350,26,101562,0
1944,26,101562,0
2537,26,101559,0
3131,26,101566,0
3725,26,101562,0
4319,26,101562,0
4913,26,101563,0
5507,26,101560,0
6100,26,101557,0
6693,26,101563,0
7287,26,101560,0
7881,26,101561,0
8475,26,101565,0
9069,26,101560,0
9663,26,101565,0
10257,26,101567,0
10851,26,101556,0
11446,26,101565,0
12041,26,101561,-1
12637,26,101564,0
13232,26,101561,0
13827,26,101561,0
14422,26,101557,0
15016,26,101564,0
15611,26,101559,0
16206,26,101561,0
16801,26,101564,0
17396,26,101559,0
17991,26,101564,0
18585,26,101563,0
19180,26,101563,0
19775,26,101568,0
20370,26,101561,0
20965,26,101567,0
21560,26,101564,0
22155,26,101564,0
22750,26,101567,0
23345,26,101561,0
23940,26,101561,0
24535,26,101566,0
25129,26,101565,0
25724,26,101561,0
26318,26,101558,0
26913,26,101559,0
27508,26,101555,0
28103,26,101557,0
28698,26,101556,0
29293,26,101556,0
29888,26,101557,0
30483,26,101557,0
31078,26,101562,0
31673,26,101561,0
32268,26,101561,0
32863,26,101564,0
33457,26,101559,0
34052,26,101556,0
34647,26,101564,0
35241,26,101557,0
35836,26,101565,0
36431,26,101565,0
37026,26,101564,0
37621,26,101565,0
38216,26,101561,0
38811,26,101561,0
39406,26,101556,0
40001,26,101558,0
40596,26,101559,0
41190,26,101558,0
41785,26,101563,0
42380,26,101561,0
42975,26,101560,0
43570,26,101557,0
44165,26,101556,-1
44761,26,101567,0
45356,26,101566,0
45950,26,101558,0
46545,26,101565,0
47140,26,101562,0
47735,26,101566,0
48329,26,101567,0
48924,26,101563,0
49519,26,101559,0
50114,26,101563,0
50709,26,101563,0
51304,26,101567,0
51899,26,101566,0
52494,26,101569,0
53089,26,101563,0
53684,26,101562,0
54279,26,101561,0
54874,26,101563,-1
55470,26,101562,0
56064,26,101564,0
56658,26,101562,0
57253,26,101558,0
57848,26,101565,0
58443,26,101561,0
59038,26,101558,0
59633,26,101555,0
60228,26,101559,0
60823,26,101559,0
61418,26,101559,0
62013,26,101562,0
62608,26,101561,0
63202,26,101557,0
63797,26,101557,0
64392,26,101557,0
64987,26,101559,0
65582,26,101560,0
66177,26,101564,0
66771,26,101562,0
67366,26,101559,0
67960,26,101562,0
68555,26,101561,0
69150,26,101561,0
69745,26,101559,0
70340,26,101559,0
70935,26,101567,0
71530,26,101558,0
72125,26,101559,0
72720,26,101561,0
73315,26,101564,0
73910,26,101559,0
74505,26,101561,0
75099,26,101565,0
75694,26,101566,0
76289,26,101569,0
76883,26,101561,0
77478,26,101559,0
78073,26,101560,0
78668,26,101564,0
79263,26,101558,0
79858,26,101564,0
80453,26,101558,0
81048,26,101559,0
81643,26,101560,0
82237,26,101560,0
82832,26,101558,0
83427,26,101560,0
84022,26,101562,0
84617,26,101563,0
85212,26,101562,-1
85808,26,101562,0
86403,26,101567,0
86998,26,101564,-1
87593,26,101562,0
88188,26,101563,-1
88784,26,101561,-1
89380,26,101563,0
89974,26,101561,0
90569,26,101565,0
91164,26,101565,0
91759,26,101562,0
92354,26,101562,0
92949,26,101564,0
93544,26,101564,0
94139,26,101561,0
94734,26,101560,0
95329,26,101562,0
95924,26,101563,0
96519,26,101562,0
97113,26,101556,0
97708,26,101564,0
98302,26,101564,0
98897,26,101564,0
99492,26,101565,0
100087,26,101564,0
100683,25,101557,0
101279,26,101565,0
101875,26,101562,0
102471,26,101563,0
103067,25,101565,0
103663,25,101564,0
104259,25,101558,0
104855,25,101560,0
105451,25,101566,0
106047,25,101562,0
106643,25,101561,0
107239,25,101561,-1
107836,25,101565,0
108432,25,101560,0
109028,25,101558,0
109624,25,101561,0
110220,25,101558,0
110816,25,101562,-1
111413,25,101555,0
112009,25,101559,0
112605,25,101555,-1
113202,25,101559,0
113798,25,101554,0
114394,25,101560,0
114990,25,101558,0
115586,25,101565,0
116182,25,101564,0
116777,25,101565,0
117373,25,101566,0
117969,25,101558,0
118565,25,101569,0
119161,25,101555,0
119757,25,101567,0
120353,25,101562,0
120949,25,101566,0
121545,25,101562,0
122141,25,101561,0
122737,25,101564,0
123333,25,101561,0
123929,25,101560,0
124525,25,101565,0
125121,25,101555,0
125717,25,101559,0
126313,25,101561,0
126909,25,101561,0
127505,25,101555,0
128101,25,101551,-1
128698,25,101567,0
129294,25,101564,0
129890,25,101562,0
130486,25,101563,0
131082,25,101553,0
131678,25,101559,0
132274,25,101554,0
132870,25,101562,0
133465,25,101556,0
134061,25,101552,0
134657,25,101557,0
135252,25,101561,0
135848,25,101558,0
136444,25,101553,0
137040,25,101555,0
137636,25,101557,0
138232,25,101558,0
138828,25,101556,0
139424,25,101558,0
140020,25,101558,0
140616,25,101556,0
141212,25,101558,0
141808,25,101561,0
142404,25,101561,0
143000,25,101555,0
143596,25,101559,0
144192,25,101562,0
144787,25,101557,0
145383,25,101557,0
145979,25,101557,0
146575,25,101559,0
147171,25,101552,0
147767,25,101560,0
148363,25,101556,0
148959,25,101556,0
149555,25,101559,0
150151,25,101554,0
150747,25,101559,0
151343,25,101557,0
151939,25,101563,0
152535,25,101552,0
153131,25,101559,0
153726,25,101559,0
154322,25,101557,0
154918,25,101565,0
155514,25,101560,0
156110,25,101560,0
156706,25,101554,0
157302,25,101560,0
157898,25,101558,0
158494,25,101557,0
159090,25,101557,0
159686,25,101558,0
160282,25,101555,0
160878,25,101562,0
161473,25,101558,0
162069,25,101555,0
162665,25,101556,0
163261,25,101559,0
163857,25,101559,0
164453,25,101559,0
165049,25,101557,0
165645,25,101559,0
166241,25,101560,0
166837,25,101557,0
167433,25,101557,0
168029,25,101556,0
168625,25,101555,0
169221,25,101553,0
169817,25,101558,0
170413,25,101562,0
171009,25,101561,0
171604,25,101556,0
172200,25,101555,0
172796,25,101554,0
173392,25,101558,0
173988,25,101553,0
174584,25,101553,0
175180,25,101551,0
175776,25,101556,0
176372,25,101550,0
176968,25,101554,0
177564,25,101557,0
178160,25,101553,0
178756,25,101552,0
179352,25,101554,0
179948,25,101550,0
180544,25,101554,0
181139,25,101555,0
181735,25,101553,0
182331,25,101563,0
182927,25,101558,0
183523,25,101557,0
184119,25,101565,0
184715,25,101565,0
185311,25,101555,0
185907,25,101557,0
186503,25,101559,0
187099,25,101556,0
187695,25,101560,0
188291,25,101556,0
188887,25,101558,0
189483,25,101554,0
190078,25,101555,0
190674,25,101563,0
191270,25,101556,0
191866,25,101552,0
192462,25,101551,0
193058,25,101557,0
193654,25,101560,0
194250,25,101555,0
194846,25,101563,0
195441,25,101556,0
196037,25,101556,0
196633,25,101553,0
197229,25,101556,0
197825,25,101551,0
198421,25,101558,0
199017,25,101556,0
199613,25,101556,0
200209,25,101557,0
200805,25,101555,0
201401,25,101557,0
201997,25,101559,0
202593,25,101550,0
203189,25,101556,0
203785,25,101556,0
204381,25,101558,0
204976,25,101556,0
205572,25,101556,0
206168,25,101556,0
206764,25,101554,0
207360,25,101556,0
207955,25,101559,0
208551,25,101558,0
209147,25,101556,0
209743,25,101554,0
210339,25,101552,0
210935,25,101557,0
211531,25,101558,0
212127,25,101554,0
212723,25,101560,0
213319,25,101556,0
213915,25,101563,0
214511,25,101560,0
215107,25,101561,0
215703,25,101559,0
216299,25,101563,0
216895,25,101560,0
217491,25,101562,0
218086,25,101560,0
218682,25,101559,0
219278,25,101559,0
219874,25,101560,0
220470,25,101560,0
221066,25,101557,0
221662,25,101555,0
222258,25,101557,0
222854,25,101553,0
223450,25,101552,0
224046,25,101554,0
224642,25,101559,0
225238,25,101560,0
225833,25,101560,0
226429,25,101556,0
227025,25,101557,0
227621,25,101562,0
228217,25,101558,0
228813,25,101559,0
229409,25,101556,0
230005,25,101552,0
230601,25,101558,0
231197,25,101558,0
231793,25,101555,0
232389,25,101562,0
232984,25,101561,0
233580,25,101559,0
234176,25,101560,0
234772,25,101557,0
235368,25,101555,0
235964,25,101556,0
236560,25,101552,0
237156,25,101553,0
237752,25,101552,0
238348,25,101560,0
238944,25,101555,0
239540,25,101557,0
240136,25,101557,0
240732,25,101558,0
241328,25,101557,0
241924,25,101562,0
242520,25,101556,0
243116,25,101564,0
243712,25,101556,0
244307,25,101552,0
244903,25,101558,0
245499,25,101560,0
246095,25,101558,0
246691,25,101555,0
247287,25,101552,0
247883,25,101552,0
248479,25,101554,0
249075,25,101551,0
249671,25,101554,0
250267,25,101557,0
250863,25,101552,0
251459,25,101557,0
252054,25,101561,0
252650,25,101559,0
253246,25,101552,0
253842,25,101551,0
254438,25,101554,0
255034,25,101556,0
255630,25,101553,0
256226,25,101557,0
256822,25,101551,0
257418,25,101557,0
258014,25,101552,0
258610,25,101555,0
259206,25,101557,0
259802,25,101557,0
260398,25,101558,0
260994,25,101558,0
261590,25,101554,0
262185,25,101557,0
262781,25,101554,0
263377,25,101555,0
263973,25,101553,0
264569,25,101562,0
265165,25,101555,0
265761,25,101559,0
266357,25,101552,0
266953,25,101549,0
267549,25,101558,0
268145,25,101555,0
268741,25,101557,0
269337,25,101557,0
269933,25,101558,0
270529,25,101562,0
271125,25,101555,0
271721,25,101564,0
272317,25,101560,0
272913,25,101559,0
273508,25,101556,0
274104,25,101555,0
274700,25,101560,0
275296,26,101554,0
275892,25,101556,0
276488,26,101558,0
277084,25,101555,0
277680,26,101558,0
278276,26,101555,0
278872,26,101558,0
279468,26,101557,0
280064,25,101557,0
280659,26,101556,0
281255,25,101559,0
281851,26,101560,0
282447,26,101559,0
283043,26,101556,0
283639,26,101560,0
284235,26,101561,0
284831,26,101562,0
285426,26,101556,0
286022,26,101553,0
286618,26,101561,0
287214,26,101561,0
287810,26,101554,0
288406,25,101559,0
289002,26,101560,0
289598,26,101562,0
290194,26,101561,0
290790,26,101561,0
291386,26,101555,0
291982,26,101552,0
292578,26,101557,0
293174,26,101557,0
293770,26,101556,0
294366,26,101559,0
294962,26,101560,0
295558,26,101558,0
296154,26,101560,0
296750,26,101561,0
297346,26,101557,0
297942,25,101550,0
298537,25,101554,0
299133,25,101559,0
299729,26,101556,0
300325,26,101558,0
300921,25,101558,0
301517,26,101557,0
302113,26,101561,0
302709,25,101556,0
303305,26,101560,0
303901,26,101553,0
304497,26,101558,0
305093,26,101562,0
305689,26,101552,0
306285,26,101556,0
306880,26,101559,0
307476,26,101559,0
308072,25,101557,0
308668,26,101563,0
309264,26,101559,0
309860,26,101564,0
310456,26,101558,0
311052,26,101558,0
311648,26,101564,0
312244,26,101561,0
312840,26,101564,0
313436,26,101559,0
314032,26,101558,0
314628,26,101562,0
315224,26,101561,0
315820,26,101555,0
316416,26,101558,0
317011,26,101563,0
317607,26,101562,0
318203,26,101556,0
318799,26,101560,0
319395,26,101562,0
319991,26,101561,0
320587,26,101563,0
321183,26,101563,0
321779,26,101560,0
322375,25,101561,0
322971,25,101564,0
323567,25,101557,0
324163,26,101562,0
324759,25,101557,0
325355,25,101552,0
325951,25,101561,0
326546,26,101565,0
327142,25,101559,0
327738,25,101561,0
328334,25,101557,0
328930,25,101561,0
329526,25,101558,0
330122,25,101559,0
330718,25,101559,0
331314,26,101560,0
331910,25,101563,0
332506,25,101559,0
333102,25,101559,0
333698,25,101555,0
334294,25,101558,0
334889,25,101557,0
335485,25,101559,0
336081,25,101562,0
336677,25,101553,0
337273,25,101559,0
337869,25,101550,0
338465,25,101561,0
339061,25,101563,0
339657,25,101559,0
340253,25,101553,0
340849,25,101549,0
341445,25,101558,0
342041,25,101561,0
342637,25,101560,0
343233,25,101561,0
343829,25,101559,0
344425,25,101559,0
345021,25,101557,0
345617,25,101556,0
346213,25,101555,0
346809,25,101558,0
347405,25,101558,0
348000,25,101558,0
348596,25,101555,0
349192,25,101557,0
349788,26,101561,0
350384,25,101559,0
350980,25,101561,0
351576,25,101557,0
352172,25,101562,0
352768,25,101557,0
353363,25,101563,0
353959,25,101557,0
354555,25,101558,0
355151,25,101556,0
355747,25,101560,0
356343,25,101554,0
356939,25,101555,0
357535,25,101561,0
358131,25,101557,0
358727,25,101560,0
359323,25,101557,0
359919,25,101558,0
360515,25,101558,0
361111,25,101558,0
361706,25,101559,0
362302,25,101560,0
362898,25,101557,0
363494,25,101558,0
364090,25,101562,0
364686,25,101556,0
365282,25,101560,0
365878,25,101563,0
366474,25,101561,0
367070,25,101560,0
367666,25,101560,0
368262,25,101566,0
368858,25,101557,0
369454,25,101564,0
370050,25,101558,0
370646,25,101564,-1
371243,26,101552,0
371838,25,101558,0
372434,26,101560,0
373030,25,101560,0
373626,25,101561,0
374222,25,101558,0
374818,25,101560,0
375414,25,101560,0
376010,25,101558,0
376606,25,101562,0
377202,25,101566,0
377798,25,101564,0
378394,25,101558,0
378990,25,101556,0
379586,25,101562,0
380182,25,101557,0
380778,25,101555,0
381374,25,101554,0
381970,25,101561,0
382566,25,101552,0
383162,25,101555,0
383758,25,101557,0
384354,25,101556,0
384950,25,101556,0
385546,25,101557,0
386142,25,101557,0
386738,25,101558,0
387334,25,101552,0
387930,25,101553,0
388526,25,101557,0
389122,25,101560,0
389716,25,101554,0
390312,25,101555,0
390908,25,101559,0
391504,25,101555,0
392100,25,101553,0
392696,25,101557,0
393292,25,101563,0
393888,25,101565,0
394484,25,101561,0
395080,25,101564,0
395676,25,101555,0
396272,25,101555,0
396868,25,101555,0
397464,25,101559,0
398060,25,101564,0
398656,25,101564,0
399252,25,101562,0
399848,25,101562,0
400444,25,101555,0
401040,25,101559,0
401636,25,101562,0
402232,25,101558,0
402828,25,101567,0
403424,25,101564,0
404020,25,101555,0
404616,25,101556,0
405212,25,101564,0
405808,25,101569,0
406404,25,101566,0
407000,25,101560,0
407596,25,101564,0
408192,25,101554,0
408787,25,101560,0
409383,25,101568,0
409979,25,101556,0
410575,25,101563,0
411171,25,101559,0
411767,25,101558,0
412363,25,101556,0
412959,25,101564,0
413555,25,101562,0
414151,25,101562,0
414747,25,101563,0
415343,25,101566,-1
415940,25,101563,0
416536,25,101558,0
417132,25,101563,0
417728,25,101564,0
418324,25,101562,0
418920,25,101562,0
419516,25,101557,0
420112,25,101564,0
420708,25,101560,0
421304,25,101562,0
421900,25,101555,0
422496,25,101555,0
423092,25,101564,0
423688,25,101563,0
424284,25,101564,0
424880,25,101561,0
425476,25,101563,0
426072,25,101552,0
426668,25,101560,0
427264,25,101563,0
427859,25,101553,0
428455,25,101563,0
429051,25,101566,0
429647,25,101556,0
430243,25,101555,0
430839,25,101566,0
431435,25,101561,0
432031,25,101568,-1
432628,25,101559,-1
433225,25,101563,0
433821,25,101562,0
434417,25,101556,0
435013,25,101565,0
435609,25,101561,-1
436206,25,101568,0
436802,25,101566,0
437398,25,101560,0
437994,25,101572,0
438590,25,101569,0
439186,25,101555,0
439782,25,101567,0
440378,25,101568,-1
440975,25,101562,0
441571,25,101563,-1
442168,25,101564,-1
442765,26,101562,0
443361,25,101570,0
443957,25,101568,0
444553,25,101563,-1
445150,25,101562,0
445746,25,101560,0
446342,25,101559,0
446938,26,101567,-1
447535,26,101562,-1
448132,26,101565,-1
448729,26,101565,0
449325,26,101573,0
449921,25,101566,0
450516,26,101573,-1
451113,26,101566,-1
451710,25,101561,-1
452307,25,101559,0
452903,26,101566,0
453499,26,101566,0
454095,26,101564,-1
454692,26,101564,-1
455289,26,101574,0
455885,25,101567,-1
456482,25,101567,0
457078,26,101569,-1
457675,26,101569,-1
458272,26,101565,-1
458869,25,101567,-1
459466,26,101570,-1
460063,25,101569,-1
460660,26,101572,0
461256,26,101563,-1
461853,25,101568,-1
462450,26,101571,0
463046,26,101567,-1
463643,26,101572,-1
464240,26,101564,0
464836,25,101568,-1
465433,25,101555,0
466029,26,101565,-1
466626,26,101564,0
467222,26,101568,0
467818,26,101565,-1
468415,26,101566,-1
469012,26,101567,-1
469609,26,101565,-1
470206,26,101571,0
470802,26,101566,0
471398,26,101564,0
471994,26,101567,0
472590,26,101566,-1
473187,26,101567,-1
473784,26,101568,0
474380,26,101563,0
474975,26,101564,0
475571,26,101561,0
476167,26,101564,0
476763,26,101565,0
477359,26,101564,0
477955,26,101562,0
478551,26,101562,0
479147,26,101561,-1
479744,26,101566,-1
480340,26,101563,0
480936,26,101566,0
481532,26,101563,0
482128,26,101561,0
482724,26,101559,0
483320,26,101560,0
483916,26,101567,0
484512,26,101566,0
485108,26,101561,0
